Ano,Modelo,RMSE,MAE,R2
2024,LSTM-MULTIVARIADO,441.36753153371455,337.360002102758,-1.045586856564984
2021,LSTM-MULTIVARIADO,502.12370739088726,401.0065331928346,-1.7608711881902357
2022,LSTM-MULTIVARIADO,437.7213995808803,331.88366897351943,-1.0271869454858944
2023,LSTM-MULTIVARIADO,436.6396204077045,331.7541751475315,-1.0413352136493965
2021,CNN-LSTM-MULTIVARIADO,502.12370739088726,401.0065331928346,-1.7608711881902357
2022,CNN-LSTM-MULTIVARIADO,438.0370471043623,331.7665525790915,-1.0301116699883601
2024,CNN-LSTM-MULTIVARIADO,441.75613938254463,337.51385589741034,-1.0491905700458397
2023,CNN-LSTM-MULTIVARIADO,443.25900299366964,348.0829877229748,-1.1036969454489278
2024,BILSTM-MULTIVARIADO,440.09339034700827,334.23998294767154,-1.033793490512835
2023,BILSTM-MULTIVARIADO,435.49290048621316,326.23013236250335,-1.0306272254387459
2021,BILSTM-MULTIVARIADO,502.12370739088726,401.0065331928346,-1.7608711881902357
2022,BILSTM-MULTIVARIADO,438.60144598811115,333.6180533683175,-1.03534652822463
2021,CNN-BILSTM-MULTIVARIADO,502.12370739088726,401.0065331928346,-1.7608711881902357
2024,CNN-BILSTM-MULTIVARIADO,441.00714651492,336.04772611805015,-1.0422476988942093
2023,CNN-BILSTM-MULTIVARIADO,438.76454415600506,338.1108534892394,-1.0612520339242768
2022,CNN-BILSTM-MULTIVARIADO,438.85939310835914,333.1108823588163,-1.0377412588555304
2023,CNN-MULTIVARIADO,440.73560138085674,342.97040272058035,-1.079813111873308
2022,CNN-MULTIVARIADO,439.85571306818053,335.58317906974617,-1.0470041202572018
2024,CNN-MULTIVARIADO,441.50179133253937,337.28498546676275,-1.0468315419197705
2021,CNN-MULTIVARIADO,502.12370739088726,401.0065331928346,-1.7608711881902357
